Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Recommended_Crop,Chemical/Component,Threshold,Disease,Affected Crops
90,42,43,20.87974371,82.00274423,6.502985292,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
85,58,41,21.77046169,80.31964408,7.038096361,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
60,55,44,23.00445915,82.3207629,7.840207144,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
74,35,40,26.49109635,80.15836264,6.980400905,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
78,42,42,20.13017482,81.60487287,7.628472891,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
69,37,42,23.05804872,83.37011772,7.073453503,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
69,55,38,22.70883798,82.63941394,5.70080568,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
94,53,40,20.27774362,82.89408619,5.718627178,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
89,54,38,24.51588066,83.5352163,6.685346424,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
68,58,38,23.22397386,83.03322691,6.336253525,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
91,53,40,26.52723513,81.41753846,5.386167788,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
90,46,42,23.97898217,81.45061596,7.50283396,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
78,58,44,26.80079604,80.88684822,5.108681786,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
93,56,36,24.01497622,82.05687182,6.98435366,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
94,50,37,25.66585205,80.66385045,6.94801983,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
60,48,39,24.28209415,80.30025587,7.042299069,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
85,38,41,21.58711777,82.7883708,6.249050656,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
91,35,39,23.79391957,80.41817957,6.970859754,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
77,38,36,21.8652524,80.1923008,5.953933276,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
88,35,40,23.57943626,83.58760316,5.85393208,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
89,45,36,21.32504158,80.47476396,6.442475375,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
76,40,43,25.15745531,83.11713476,5.070175667,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
67,59,41,21.94766735,80.97384195,6.012632591,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
83,41,43,21.0525355,82.67839517,6.254028451,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
98,47,37,23.48381344,81.33265073,7.375482851,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
66,53,41,25.0756354,80.52389148,7.778915154,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
97,59,43,26.35927159,84.04403589,6.286500176,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
97,50,41,24.52922681,80.54498576,7.070959995,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
60,49,44,20.77576147,84.49774397,6.244841491,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
84,51,35,22.30157427,80.64416466,6.043304899,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
73,57,41,21.44653958,84.94375962,5.824709117,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
92,35,40,22.17931888,80.33127223,6.357389366,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
85,37,39,24.52783742,82.73685569,6.364134968,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
98,53,38,20.26707606,81.63895217,5.01450727,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
88,54,44,25.7354293,83.88266234,6.149410611,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
95,55,42,26.79533926,82.1480873,5.950660556,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
99,57,35,26.75754171,81.17734011,5.960370061,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
95,39,36,23.86330467,83.15250801,5.561398642,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
60,43,44,21.01944696,82.95221726,7.416245107,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
63,44,41,24.17298839,83.7287574,5.583370042,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
62,42,36,22.78133816,82.06719137,6.430010215,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
64,45,43,25.62980105,83.52842314,5.534878156,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
83,60,36,25.59704938,80.14509262,6.903985986,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
82,40,40,23.83067496,84.81360127,6.271478838,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
85,52,45,26.31355498,82.36698992,7.224285503,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
91,35,38,24.8972823,80.52586088,6.13428721,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
76,49,42,24.958779,84.47963372,5.206373153,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
74,39,38,23.24113501,84.59201843,7.782051313,"Sugarcane, Tobacco",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
79,43,39,21.66628296,80.70960551,7.062779015,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
88,55,45,24.63544858,80.41363018,7.730367824,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
60,36,43,23.43121862,83.06310136,5.286203711,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
76,60,39,20.0454142,80.3477562,6.766240045,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
93,56,42,23.85724032,82.22572988,7.382762603,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
65,60,43,21.97199397,81.89918197,5.658169482,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
95,52,36,26.22916897,83.83625819,5.543360238,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
75,38,39,23.44676801,84.79352417,6.215109715,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
74,54,38,25.65553461,83.47021081,7.120272972,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
91,36,45,24.44345477,82.45432595,5.950647577,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
71,46,40,20.2801937,82.1235421,7.236705436,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
99,55,35,21.7238313,80.2389895,6.501697816,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
72,40,38,20.41447029,82.20802629,7.592490617,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
83,58,45,25.75528612,83.51827127,5.875345751,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
93,58,38,20.61521424,83.77345559,6.932400225,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
70,36,42,21.84106875,80.72886384,6.946209881,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
76,47,42,20.08369642,83.29114712,5.739175027,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
99,41,36,24.45802087,82.74835604,6.738652179,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
99,54,37,21.14347496,80.33502926,5.594819626,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
86,59,35,25.78720567,82.11124033,6.946636369,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
69,46,41,23.64124821,80.28597873,5.012139669,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
